,index,id,target,enzyme,smile,name
550,550,DB01059,P43702|P43700|P11388,P05177|P08684|P04798,34|45|61|80|164|231|294|305|314|389|407|453|456|464|525|650|699|713|804|807|875|880|926|935|974|1047|1057|1114|1237|1295|1308|1332|1357|1380|1453|1455|1480|1516|1575|1729|1840|1873|1917|1928|1991|2020,Norfloxacin
551,551,DB01060,Q8L103,P10632|P04190,1|5|18|130|233|251|314|362|387|389|573|607|650|673|675|697|745|753|786|807|935|1019|1057|1060|1149|1150|1152|1171|1205|1274|1279|1298|1313|1365|1380|1431|1602|1609|1635|1733|1750|1778|1853|1873|1917|1937|1943,Amoxicillin
552,552,DB01062,P20309|P08172|P11229,P08684|P10632|P10635|P20815,2|70|80|114|147|151|251|294|389|542|585|650|674|695|799|807|865|881|890|926|932|1019|1028|1057|1088|1096|1199|1244|1313|1317|1325|1380|1417|1425|1590|1623|1750|1873|1908|1917|1926|1960|1981|2017|2024,Oxybutynin
553,553,DB01064,P08588|P07550|P13945|P28482|P27986|O00459|Q92569|Q4ZHU6|P00441,P04798,1|80|227|283|315|589|606|632|782|807|875|949|1028|1057|1152|1362|1365|1380|1434|1475|1574|1602|1607|1750|1784|1853|1873|2030,Isoprenaline
554,554,DB01065,P48039|P49286|P03372|Q92753|P0DP23|P05164|P11678|P27797|P46597|P16083,P04798|P05177|Q16678|P33261|P11712|P46597|P14902|P05164|P11511,60|80|119|197|245|322|328|364|476|650|667|695|718|731|781|806|807|828|841|875|1017|1057|1114|1152|1243|1244|1349|1357|1380|1536|1750|1752|1873|1879|1917|1937|1939|1972|2008,Melatonin
555,555,DB01067,Q09428|P37231,P11712|P22309,2|8|35|80|197|307|310|318|319|331|350|378|387|428|454|473|486|502|650|667|689|715|807|828|855|883|890|926|1018|1019|1028|1045|1057|1152|1243|1274|1325|1380|1452|1476|1507|1535|1606|1634|1655|1722|1731|1750|1754|1873|1895|1917|1989,Glipizide
556,556,DB01068,P14867|P47869|P34903|P48169|P31644|Q16445|P18505|P47870|P28472|O14764|P78334|Q8N1C3|P18507|Q99928|O00591|Q9UN88|P14867|P47869|P34903|P31644|Q8N1C3|P18507|Q99928|O75469,P08684|P05181|P11245,74|117|124|135|142|314|352|366|378|429|561|624|650|715|724|753|838|875|881|926|974|984|1060|1088|1114|1195|1199|1274|1356|1380|1531|1536|1575|1646|1683|1750|1809|1814|1873|1940|1963|1982|2017,Clonazepam
557,557,DB01069,P35367|P14416|P11229|P08172|P20309|P08173|P08912|P35348|P35368|P25100|P08913|P18089|P18825|P0DP23|P25021|Q99677|P43657|P51575|Q9UBL9|P56373|Q99571|Q93086|O15547|Q99572|P47900|Q96G91|Q9H244|Q9BPV8|Q15391|P41231|P51582|Q86VZ1|O00398|P35498|Q9Y5Y9|Q9UI33|Q99250|Q9NY46|P35499|Q14524|Q01118|Q9UQD0|Q15858|Q09470|Q16322|P16389|P22001|P22459|P22460|P17658|Q14721|Q92953|P48547|Q96PR1|Q14003|Q03721|Q9NSA2|Q9NZV8|Q9UK17|P15382|Q9Y6J6|Q9Y6H6|Q8WWG9|Q9UJ90|Q9H3M0|Q9UIX4|Q9UJ96|Q8TAE7|Q8TDN1|O95259|Q12809|Q9ULD8|Q9UQ05|Q8NCM2|Q9H252|Q9NS40|Q96L42|P51787|O43526|O43525|P56696|Q9NR82|Q96KK3|Q9BQ31|Q6PIU1|Q8TDN2|Q14722|Q13303,P10635|P20813|P11712,1|80|283|397|577|588|675|881|917|935|939|949|1057|1088|1163|1167|1199|1273|1295|1318|1380|1515|1585|1647|1750|1873|1922|1976|2044,Promethazine
558,558,DB01071,P35367,P10635|P08684,80|148|191|226|397|497|585|588|675|729|739|908|917|926|935|949|1019|1088|1167|1199|1276|1295|1325|1380|1409|1473|1480|1573|1585|1647|1750|1873|1917|2044,Mequitazine
559,559,DB01072,Q72874,P08684|P11712|P22309|P10632|P05177,1|16|68|79|80|114|117|227|310|335|339|378|389|392|419|448|507|573|650|692|695|737|807|833|837|841|847|857|881|888|896|980|1003|1057|1066|1088|1147|1152|1155|1160|1199|1380|1399|1452|1455|1507|1563|1677|1707|1750|1754|1758|1771|1773|1826|1851|1860|1866|1873|1917|1971|1985|2017,Atazanavir
560,560,DB01074,P50416|P23786|Q12809,P10635|P20813|P08684,1|2|80|305|325|401|868|870|890|926|1016|1019|1028|1114|1146|1325|1507|1634|1652|1718|1733|1912|1917|1978,Perhexiline
561,561,DB01075,P35367|P08172,P10635|P11712|P33261|P23219,1|13|74|80|316|389|652|693|695|881|1057|1088|1163|1199|1298|1326|1365|1380|1581|1727|1750|1843|1873|1932|1951,Diphenhydramine
562,562,DB01076,P04035|P27487|P35869|Q92769|Q14994,P08684|P20815|P24462|P10632|P10635|P11712|P33261|P20813|P22309|P35503,1|80|90|109|152|169|191|227|283|289|351|389|486|586|598|624|650|677|680|699|703|736|739|792|802|807|896|935|973|1053|1057|1058|1077|1088|1141|1145|1152|1160|1199|1290|1380|1383|1410|1413|1423|1670|1701|1727|1737|1747|1750|1816|1873|1917|1928|1978|2038,Atorvastatin
563,563,DB01079,Q13639|P41595|P28335|P28223,P05177|P10632|P10635|P05181,60|80|119|197|201|257|294|318|322|328|331|442|524|591|592|623|667|694|695|718|725|781|794|806|807|841|864|875|924|961|976|1057|1104|1114|1152|1357|1380|1444|1536|1706|1750|1867|1873|1876|1879|1911|1937|1939|1972|2018,Tegaserod
564,564,DB01080,P80404,P11712,1|57|80|389|392|650|694|739|786|807|955|1171|1287|1336|1366|1564|1645|1737|1835|1917|1996,Vigabatrin
565,565,DB01083,P16233|P07098|P49327,P08684|P47712,1|69|78|80|125|142|147|260|283|294|314|334|364|412|488|523|591|610|650|656|680|694|695|736|739|750|759|794|807|832|941|976|1004|1019|1023|1057|1060|1143|1152|1276|1283|1380|1430|1444|1482|1718|1798|1847|1911|1917|1956|1966|1992,Orlistat
566,566,DB01085,P20309|P11229|P08172|P08173,P11509|P08684,29|80|135|142|165|209|226|294|314|354|378|441|458|481|650|656|710|926|932|935|941|1019|1045|1057|1145|1380|1409|1449|1454|1520|1523|1535|1550|1603|1873|1923,Pilocarpine
567,567,DB01086,Q9Y5Y9,P23141,80|145|147|294|606|650|695|759|807|888|1057|1168|1171|1238|1380|1385|1457|1522|1697|1722|1750|1804|1873|1917,Benzocaine
568,568,DB01087,P08729|P16083,P08684|P05177|P10635|P04798|Q16678,1|80|283|322|378|441|448|475|615|687|690|695|739|781|835|841|875|892|981|1043|1057|1087|1088|1152|1171|1218|1224|1364|1380|1452|1517|1536|1666|1724|1750|1840|1855|1866|1873|1911|1939|1958|2018,Primaquine
569,569,DB01094,P35610|O75908|P55157|P04278,P05177,40|94|167|231|249|314|457|590|650|656|695|745|750|751|807|841|875|926|965|1019|1025|1057|1181|1279|1380|1387|1397|1511|1536|1537|1602|1607|1609|1672|1747|1750|1803|1873|1905|1957|1970|2035,Hesperetin
570,570,DB01095,P04035|Q92769,P04798|P08684|P20815|P10632|P11712|P33261|P10635|P22309|P35503|P16662|P20813,1|45|80|90|157|169|227|239|283|389|624|650|677|680|694|699|807|835|862|896|935|965|1049|1057|1088|1141|1160|1199|1285|1290|1327|1357|1380|1408|1410|1510|1564|1573|1624|1636|1670|1672|1737|1747|1750|1873|1917|1928|1930|1989|2038,Fluvastatin
571,571,DB01097,Q02127|P35869|Q14289,P11712|P05177,114|191|192|248|378|383|403|486|614|627|650|656|741|807|809|835|843|847|1057|1063|1077|1152|1260|1380|1417|1453|1535|1665|1722|1750|1816|1873|1917|1928|1978|1991,Leflunomide
572,572,DB01098,P04035|P20701,P11712,1|56|80|81|90|169|227|283|323|350|378|389|471|554|582|598|650|677|680|692|694|699|807|835|881|896|965|1049|1057|1141|1160|1163|1256|1261|1279|1290|1309|1380|1410|1411|1462|1476|1564|1585|1624|1636|1670|1737|1750|1776|1810|1855|1873|1917|1926|1928|2038,Rosuvastatin
573,573,DB01100,P14416|P35462|Q12809|P0DP23,P20815|P24462|P08684|P05177|P10635,1|45|75|80|90|119|314|389|548|650|653|699|739|758|847|884|890|926|935|987|1019|1088|1114|1145|1199|1240|1261|1268|1285|1325|1365|1370|1380|1410|1480|1482|1502|1587|1670|1745|1750|1783|1791|1853|1873|1910|1911|1928|2046,Pimozide
574,574,DB01101,P04818,P19971|P23141|Q12882|P32320|P11712,13|80|131|147|294|314|322|378|454|464|505|550|577|591|606|650|656|695|699|708|722|794|807|935|989|1019|1057|1099|1108|1114|1152|1176|1249|1257|1309|1326|1380|1444|1482|1487|1623|1734|1758|1796|1816|1840|1855|1873|1887|1911|1917|1921|1928,Capecitabine
575,575,DB01103,O60733|P47712|Q15111,P50135|P08684|P20815,1|60|80|165|216|251|273|283|294|322|378|381|389|445|561|615|620|687|690|695|718|739|781|816|823|841|875|881|932|961|974|1048|1057|1097|1106|1152|1300|1357|1380|1506|1536|1581|1683|1733|1750|1855|1873|1911|1951|1972|1981|2018,Quinacrine
576,576,DB01104,P31645|Q01959|O00264|Q99720|P23975|Q7RTT9,P08684|P10635|P33261|P11712|P20813|P27338|P21397|Q14097|P05181,254|292|366|371|551|561|654|666|793|875|926|1019|1027|1057|1088|1119|1152|1199|1232|1279|1325|1380|1402|1430|1524|1554|1594|1601|1683|1750|1803|1873|1906|2000,Sertraline
577,577,DB01105,P23975|P31645|Q01959,P08684,1|4|80|216|283|309|484|556|561|577|604|680|759|816|881|899|926|1028|1057|1060|1070|1162|1163|1227|1319|1380|1484|1681|1683|1750|1847|1873|2028,Sibutramine
578,578,DB01108,P14060|P26439|P03372|Q92731,P08684,105|134|228|423|519|529|559|562|622|656|674|728|760|790|807|881|926|940|1019|1057|1060|1070|1089|1095|1119|1136|1162|1202|1257|1271|1274|1325|1333|1358|1380|1384|1436|1477|1531|1602|1656|1777|1911|1941|1951|2024,Trilostane
579,579,DB01110,P10613|P29474|P35228|O75469|Q12791|Q16558|Q9Y691|Q9NPA1|Q86W47|O15554|Q92952|Q9H2S1|Q9UGI6|Q09470|Q16322|P16389|P22001|P22459|P22460|P17658|Q14721|Q92953|P48547|Q96PR1|Q14003|Q03721|Q9NSA2|Q9NZV8|Q9UK17|P15382|Q9Y6J6|Q9Y6H6|Q8WWG9|Q9UJ90|Q9H3M0|Q9UIX4|Q9UJ96|Q8TAE7|Q8TDN1|O95259|Q12809|Q9ULD8|Q9UQ05|Q8NCM2|Q9H252|Q9NS40|Q96L42|P51787|O43526|O43525|P56696|Q9NR82|Q96KK3|Q9BQ31|Q6PIU1|Q8TDN2|Q14722|Q13303|Q14500|Q9UNX9|P63252|P48050|Q13936|Q01668|O60840|Q13698|Q02641|Q08289|P54284|O00305,P11712|P33261|P11509|P05181|P08684|P20813|P10635|P10632|P15538|Q16850|P11511,1|80|165|216|237|272|316|366|378|494|542|561|667|695|745|778|805|816|843|875|932|935|960|965|1101|1209|1349|1373|1380|1463|1603|1654|1681|1683|1741|1750|1761|1866|1873|1888|1922|1949,Miconazole
580,580,DB01114,P35367|P31645|P23975|Q01959,P24462|P08684|P10635|P20815,1|75|80|216|378|389|448|501|529|561|567|652|693|738|739|816|845|881|1057|1070|1088|1114|1155|1163|1199|1210|1365|1380|1452|1683|1750|1853|1866|1873|1951,Chlorpheniramine
581,581,DB01115,Q13936|O75469|P0DP23|Q01668|Q13698|Q08289|Q9UK17|O43497|O95180|Q9P0X4,P08684|P10635|P05177|P11509|P10632|P04798|P20813|P05181|P11712|P20815,145|164|354|371|650|695|715|716|753|807|838|841|906|1005|1019|1024|1027|1057|1060|1088|1106|1114|1152|1167|1171|1195|1199|1380|1411|1464|1508|1651|1722|1750|1873|1917|1963,Nifedipine
582,582,DB01116,Q9GZZ6,P06276,80|92|263|287|314|385|389|595|650|757|799|926|935|996|1019|1022|1024|1028|1066|1088|1116|1199|1218|1238|1319|1325|1380|1417|1683|1689|1750|1754|1765|1775|1783|1861|1873,Trimethaphan
583,583,DB01117,Q02768|Q08210|Q02127,P11712|P08684,1|216|314|323|352|380|471|561|650|797|807|816|926|984|1019|1070|1088|1150|1158|1199|1279|1325|1380|1389|1476|1581|1582|1602|1683|1736|1750|1803|1873|2000,Atovaquone
584,584,DB01118,Q12809|Q9H252|Q9NS40|P08588|P07550|P13945|Q9P0X4|Q13936|Q01668|O60840|Q13698|Q02641|Q08289|P54284|O00305|P10827|P10828|P37231|Q07869|Q86YN6,P08684|P10632|P10635|P11712|P05177|P33261|P04798|P11509|P51589,9|13|21|80|251|294|333|368|460|473|515|555|582|586|591|620|650|656|661|695|786|794|807|875|878|881|932|947|975|1057|1088|1128|1196|1197|1199|1243|1352|1357|1380|1385|1452|1524|1573|1604|1750|1808|1839|1873|1911|1917|1951|1981|2008,Amiodarone
585,585,DB01119,Q14654|P00915|P00918|P05023|Q12791,P15104,74|165|172|207|216|378|467|469|493|537|561|624|650|816|875|1057|1060|1114|1175|1232|1380|1594|1683|1722|1750|1873|1907|1925|1948|1982,Diazoxide
586,586,DB01120,Q09428|P15692,P11712|P33261,166|235|276|307|319|331|350|502|585|650|715|739|807|836|883|926|935|1019|1028|1057|1063|1152|1325|1334|1380|1405|1476|1606|1722|1750|1796|1823|1873|1881|1917|1920|1989,Gliclazide
587,587,DB01122,P22303,P06276,80|109|116|197|294|295|309|366|412|414|419|561|565|650|667|807|913|937|974|1057|1088|1152|1199|1210|1349|1380|1431|1505|1525|1597|1683|1750|1873|1917,Ambenonium
588,588,DB01124,Q09428|P48048,P11712|P10632|P33261|P33260,80|197|235|294|307|319|331|350|425|502|591|650|667|715|794|807|883|895|1057|1152|1380|1476|1478|1606|1722|1750|1823|1873|1876|1911|1917|1920|1989,Tolbutamide
589,589,DB01126,P31213|P18405,P20815,13|105|114|120|164|206|262|264|301|314|335|419|463|519|522|529|547|562|573|622|623|627|650|689|787|807|809|875|926|1019|1057|1060|1090|1095|1114|1133|1152|1162|1222|1224|1260|1274|1294|1303|1325|1380|1417|1453|1477|1522|1533|1597|1599|1617|1665|1750|1756|1816|1873|1917|1928|1938|1951,Dutasteride
590,590,DB01127,P10613|O75469,P11511|P05181|P08684,1|80|165|216|237|272|310|316|366|378|391|494|542|561|667|695|745|778|805|816|843|875|932|935|960|1070|1101|1209|1373|1380|1463|1603|1654|1683|1750|1754|1761|1866|1873|1922|1949|2042,Econazole
591,591,DB01128,P10275,P08684|P33261|P11712|P10635,80|90|114|184|191|194|231|242|245|262|274|283|319|320|350|361|392|419|593|650|674|699|715|790|800|807|809|843|875|1057|1136|1152|1174|1344|1380|1384|1409|1410|1453|1476|1560|1670|1750|1816|1862|1873|1908|1917|1928|2043,Bicalutamide
592,592,DB01129,P20648,P08684|P33261|P04798|P05177|P11712|P10635|P10632,13|80|110|119|252|289|343|378|404|427|429|462|474|486|535|626|650|677|695|787|841|984|989|1005|1057|1076|1088|1097|1114|1199|1256|1265|1380|1452|1518|1671|1722|1739|1745|1750|1753|1773|1783|1855|1866|1873|1897|1911|1970,Rabeprazole
593,593,DB01130,P04150,P08684,51|80|84|147|155|182|188|240|245|264|294|314|373|408|504|519|529|547|622|639|650|679|693|695|718|787|807|849|898|926|934|967|1009|1019|1057|1060|1102|1146|1153|1162|1223|1238|1257|1274|1320|1325|1380|1386|1428|1436|1489|1531|1711|1722|1738|1831|1873|1884|1887|1917|1938|1997|2004|2021,Prednicarbate
594,594,DB01131,P00374|P13922,P33261|P10635|P11712,1|117|191|216|283|561|573|623|807|816|843|1028|1057|1070|1077|1104|1113|1119|1152|1380|1392|1404|1596|1683|1750|1816|1873|1993|2018,Proguanil
595,595,DB01132,P37231|P27338,P10632|P08684|P04798,13|80|90|102|145|294|310|314|322|378|424|458|650|655|675|695|718|724|807|885|970|987|1019|1034|1057|1060|1114|1243|1276|1344|1380|1384|1408|1443|1452|1456|1468|1535|1644|1750|1754|1780|1799|1840|1873,Pioglitazone
596,596,DB01134,P08235,P08684,7|16|70|80|84|88|105|114|120|147|182|206|242|270|314|392|408|479|494|504|519|529|562|622|650|695|807|841|852|926|964|992|1019|1057|1060|1095|1162|1175|1219|1274|1286|1303|1325|1380|1458|1477|1708|1738|1873|1884|1917|1951|2004,Desoxycorticosteronepivalate
597,597,DB01135,Q15822|P08172,P06276,13|80|147|249|282|333|362|374|426|458|521|636|645|650|677|687|695|786|807|841|875|899|926|931|1019|1027|1034|1056|1057|1095|1236|1248|1326|1380|1386|1423|1536|1564|1599|1648|1673|1734|1738|1745|1754|1803|1873|1892|1911|1917|1970,Doxacurium
598,598,DB01136,P08588|P35348|O95298|P07550|P15692|P16860|P17302|Q12809|P19320|P25100|P35368|P18825|P18089|P08913|P16581|Q16665|P48050|P63252|P35348|P35368|P25100,P47989|P11712|P10635|P05177|P08684|P04798|P05181|P22309|P06133|P16662,1|13|80|118|119|140|227|249|411|430|490|497|606|658|667|695|807|841|1001|1004|1039|1057|1088|1114|1152|1199|1299|1353|1357|1380|1410|1452|1481|1518|1536|1540|1573|1626|1699|1745|1750|1783|1873|1948|1970|1984|1986|2038,Carvedilol
599,599,DB01137,P43702|P43700,P05177|P11712,14|146|207|314|389|407|441|453|456|464|525|577|624|650|656|686|699|734|807|844|875|892|926|935|1019|1047|1057|1120|1145|1236|1294|1309|1332|1357|1380|1440|1480|1508|1657|1729|1797|1840|1849|1873|1917|1923|1924|1928|1971|1991|2045,Levofloxacin
600,600,DB01138,Q92887|P33527|Q96S37|O75469,P11712|P08684|P20813|P10632,5|80|275|301|314|331|389|427|443|458|650|725|821|832|935|1019|1049|1088|1103|1130|1199|1256|1265|1318|1380|1690|1750|1825|1873|1901|1927,Sulfinpyrazone
601,601,DB01141,A2QLK4,P21964|P15289,1|5|13|19|23|79|80|102|120|121|132|140|182|217|220|227|248|282|283|294|301|314|322|350|376|378|387|403|486|492|577|590|591|592|606|621|650|656|675|684|687|695|718|739|794|804|807|820|827|849|853|865|875|896|926|935|967|971|979|980|981|1019|1022|1034|1041|1057|1114|1152|1160|1168|1171|1249|1257|1284|1290|1292|1309|1312|1322|1352|1365|1376|1380|1385|1444|1452|1475|1476|1487|1506|1516|1529|1542|1543|1544|1545|1602|1607|1620|1631|1636|1665|1697|1750|1753|1773|1794|1831|1853|1859|1873|1898|1911|1917|1959|1960|1970|1971|1980|2000|2021,Micafungin
602,602,DB01142,P35367|P25021|P23975|P31645|P28223|P41595|P28335|P11229|P08172|P20309|P08173|P08912|P35348|P35368|P25100|P08908|P50406|Q9H3N8|Q12809,P10635|P33261|P11712|P05177|P08684,80|118|352|372|401|441|478|576|609|652|656|693|694|760|770|792|881|926|984|1005|1057|1088|1120|1163|1199|1236|1355|1375|1380|1481|1708|1750|1873|1905|1951,Doxepin
603,603,DB01143,P10696,P05186,69|80|116|192|486|650|667|771|783|807|853|981|1004|1152|1171|1182|1322|1335|1512|1517|1801|1838|1840|1911|2046,Amifostine
604,604,DB01149,P28223|P28335|P31645|P08908|P23975|Q01959|P35368|P08913|P35348|Q12809,P08684|Q14097|P10635|P08684|Q9HB55|P20815|P24462,13|57|74|80|102|158|165|216|294|314|318|322|335|378|389|407|496|561|562|592|650|653|687|695|771|802|804|875|926|935|947|1034|1039|1049|1057|1088|1124|1145|1199|1380|1452|1480|1482|1508|1683|1750|1781|1791|1799|1825|1832|1854|1873|1911|1956|1980|2016,Nefazodone
605,605,DB01151,P23975|P07550|P31645|P28223|P08588|P17405|P35367|P35348|P35368|P25100|P11229|P08172|P20309|P08173|P08912|P08908|P28335|P14416|P08913|P18089|P18825,P10635|P05177|P08684|P20813|P05181,80|138|177|588|667|926|935|1057|1088|1101|1145|1152|1199|1211|1236|1295|1374|1380|1430|1470|1647|1665|1708|1738|1742|1750|1873|1911|1995,Desipramine
606,606,DB01154,P14867|Q15842|Q14654,P11712|P08684|P05181,1|80|97|283|294|314|524|548|606|646|650|694|713|739|794|940|1057|1060|1114|1336|1366|1380|1382|1455|1645|1717|1741|1824|1846|1848|1978,Thiamylal
607,607,DB01155,P43702|P43700,P05177,48|80|130|314|326|338|370|378|389|407|414|445|453|456|464|525|577|612|624|650|695|699|725|739|785|807|841|850|875|895|926|934|935|981|1019|1047|1057|1171|1314|1322|1325|1332|1346|1357|1380|1422|1468|1520|1611|1639|1696|1713|1729|1840|1855|1865|1873|1910|1917|1928|1946|1991,Gemifloxacin
608,608,DB01156,Q01959|P23975|P32297|P46098,P20813|P10635|P11712|P05181,1|54|114|165|216|283|329|386|392|561|592|603|650|807|875|932|989|1039|1057|1088|1152|1380|1385|1548|1623|1683|1716|1750|1858|1873|1917|1985,Bupropion
609,609,DB01157,P00374,P00374,80|87|132|191|249|252|255|282|333|378|409|695|758|841|875|904|961|1057|1097|1152|1171|1240|1349|1380|1416|1457|1459|1481|1536|1560|1578|1599|1619|1722|1741|1750|1851|1855|1856|1873|1892|1961|1970|1984,Trimetrexate
610,610,DB01159,O14649|Q9NPC2|Q12791|Q8TCU5|O60391|Q12879|P23415|P08100|P48051|P48549|P03886|O15554|P14867|P59768|Q6W5P4|P14867|P47869|P34903|P48169|P31644|Q16445|P18505|P47870|P28472|O14764|P78334|Q8N1C3|P18507|Q99928|O00591|Q9UN88|P20020|Q01814|Q16720|P23634,P05181|P08684|P11509|P20813|P11712,1|114|136|190|728|914|1453|1664|1683|1867|1928,Halothane
611,611,DB01161,Q9Y5Y9|Q01959,P06276,13|67|80|145|147|251|294|366|561|620|647|650|695|807|875|881|888|932|1057|1147|1168|1171|1196|1308|1380|1457|1592|1668|1673|1683|1750|1873|1896|1917|1951|1981|1991,Chloroprocaine
612,612,DB01165,P43702|P43700|P11388,P05177,14|146|207|314|389|407|441|453|456|464|525|577|624|650|656|686|699|734|807|844|875|892|926|935|1019|1047|1057|1120|1145|1236|1294|1309|1332|1357|1380|1440|1480|1508|1657|1729|1797|1840|1849|1873|1917|1923|1924|1928|1971|1991|2045,Ofloxacin
613,613,DB01166,Q14432,P20815|P24462|P33261|P08684|P05177|P10635,2|13|74|80|170|186|257|314|318|322|378|510|569|650|695|718|757|875|890|926|935|944|988|1019|1028|1034|1060|1114|1164|1184|1236|1243|1249|1301|1325|1380|1394|1452|1476|1486|1501|1575|1608|1646|1665|1738|1750|1783|1873|1910|1911|1982|1993|1997,Cilostazol
614,614,DB01167,Q16850|P50859,P20815|P24462|P08684|P20813|P04798|P05181,1|37|43|70|72|80|84|102|151|165|216|233|249|283|294|314|322|366|378|407|489|534|548|561|564|629|650|651|656|683|687|695|718|747|749|771|816|875|926|932|935|1017|1019|1024|1057|1060|1070|1100|1123|1136|1167|1209|1255|1260|1380|1391|1405|1414|1423|1452|1480|1508|1544|1591|1603|1683|1701|1750|1790|1825|1870|1873|1923|1936|1943|1957|1980|2029,Itraconazole
615,615,DB01168,P21397|P27338,P47989,1|80|117|255|283|302|310|486|495|638|650|695|807|1028|1057|1102|1152|1251|1380|1385|1404|1430|1488|1665|1697|1750|1754|1873|1917|1987,Procarbazine
616,616,DB01169,O14920|Q16881|P05412|P24385|P27361|P28482|P31749|P38936|Q13547|P29590,P08684,439|650|695|866|1094|1261|1612|2020,Arsenictrioxide
617,617,DB01171,P21397|P21397|P27338|P27338,P21397|P27338|P33261|P10635|P11712,8|80|197|216|265|486|523|561|586|650|656|667|714|807|816|926|935|950|1070|1145|1152|1380|1385|1405|1441|1480|1482|1665|1683|1697|1750|1791|1849|1873|1917,Moclobemide
618,618,DB01172,P0A7S3,P9WQG9|P05057|P00551,80|222|359|489|533|610|656|695|807|869|895|926|981|1019|1037|1059|1077|1108|1171|1215|1234|1250|1257|1292|1314|1323|1361|1381|1487|1512|1516|1569|1652|1764|1832|1844|1921|1950|1977,Kanamycin
619,619,DB01173,O15399|Q05586|O60391|Q8TCU5|P35367|P23975|Q9Y5Y9,P20813|P08684|P05181|P05177|P10635,1|13|80|237|316|336|389|581|652|693|695|881|1057|1088|1163|1199|1298|1326|1365|1380|1391|1422|1581|1661|1722|1727|1750|1843|1873|1932|1951|1999,Orphenadrine
620,620,DB01174,P14867|P43681|P36544|P42262|Q13002|Q05586|Q12879|Q13224|Q14957|O15399|Q8TCU5|O60391|O75469,P33261|P11712|P20813|P10632|P08684|P05177|P11509|P05181|P20815|P04798|P33260|P24462|P13584|P22309|P16662,80|151|264|294|314|336|389|428|556|650|713|772|1057|1060|1088|1098|1114|1199|1267|1351|1380|1464|1750|1873|1974,Phenobarbital
621,621,DB01175,P31645|P11229|P35367|P08908|P28223|P35348|P35368|P25100|P28335|P08913|P18089|P18825|P14416|P23975|Q01959,P08684|P10635|P33261|P21397|P27338,80|84|90|102|176|286|305|345|484|556|604|609|652|656|674|693|699|790|795|875|881|926|946|963|1017|1057|1060|1080|1136|1163|1236|1304|1375|1380|1384|1410|1670|1750|1786|1854|1873|1911|1928|1951|1954|1975|1980,Escitalopram
622,622,DB01176,P35367|P49888,P11712,1|14|15|207|389|461|926|935|1057|1088|1145|1199|1236|1265|1321|1364|1365|1380|1480|1581|1627|1750|1873,Cyclizine
623,623,DB01177,P11388,P11712|P10635,1|34|116|121|202|314|352|361|432|505|550|650|656|679|687|694|695|722|807|842|926|940|973|984|1017|1019|1057|1060|1070|1088|1154|1171|1199|1204|1250|1257|1292|1309|1380|1381|1476|1484|1487|1509|1597|1602|1628|1648|1721|1733|1747|1750|1789|1815|1832|1862|1873|1917|1921|1988,Idarubicin
624,624,DB01181,O75469,P20813|P08684|P20815|P33261|P11712|P10632|P11509|P33260|P23219,80|371|389|525|607|650|656|667|810|926|935|950|978|1028|1109|1144|1145|1152|1250|1426|1435|1456|1480|1573|1683|1698|1792|1904|1964|1983,Ifosfamide
625,625,DB01182,Q14524|Q12809|P08588|P07550,P10635|P08684|P05177,1|80|118|227|294|389|430|500|606|634|650|658|667|670|695|781|794|807|814|1004|1045|1057|1066|1088|1090|1152|1199|1243|1353|1380|1410|1443|1447|1452|1481|1564|1693|1699|1750|1754|1873|1917|1970|1991|2038,Propafenone
626,626,DB01183,P35372|P41143|P41145|P16220|P03372|O00206|P23141,P08684|P22309,80|231|311|314|327|370|389|583|649|650|656|682|694|750|806|807|817|926|935|940|1019|1039|1060|1104|1117|1154|1162|1174|1209|1236|1288|1291|1294|1366|1380|1475|1480|1498|1503|1580|1602|1607|1645|1656|1738|1750|1760|1761|1786|1808|1820|1873|1980|2022,Naloxone
627,627,DB01184,P14416|P35462,P20815|P24462|P08684|P05177|P20813|P10632|P10635,45|80|119|165|216|286|314|432|561|650|653|758|802|804|816|847|875|884|926|935|987|1019|1066|1088|1114|1145|1199|1261|1268|1285|1325|1370|1380|1480|1482|1502|1587|1620|1681|1683|1745|1750|1783|1791|1873|1910|1911|2015|2021|2046,Domperidone
628,628,DB01186,P14416|P35462|P21917|P08908|P41595|P28223|P28221|P08913|P18089|P18825|P21918|P21728|P28222|P28335|P35348|P35368|P25100,P08684,29|67|80|116|119|205|231|294|371|394|442|455|580|638|739|794|806|820|864|926|927|935|1019|1027|1039|1057|1088|1102|1114|1145|1236|1292|1293|1377|1380|1475|1585|1689|1750|1783|1797|1803|1873|1879|1937|1942|1984|1995|2022,Pergolide
629,629,DB01190,Q2G0P0,P08684|P20815,1|29|35|80|116|117|143|175|193|283|294|298|394|403|428|442|486|493|531|573|650|656|689|739|794|796|807|832|895|914|926|935|1017|1019|1037|1057|1089|1145|1152|1257|1267|1292|1370|1392|1412|1457|1487|1631|1683|1917|1921|2043|2044,Clindamycin
630,630,DB01191,P31645|P28335,P10635|P05177|P05181,1|79|80|114|163|283|284|294|782|809|875|1039|1057|1066|1088|1152|1260|1368|1380|1417|1453|1522|1726|1728|1750|1754|1873|1928|1964|1990|2017|2018,Dexfenfluramine
